slug,origin_country,official_url,instagram_url,description_ko,source_url,verified_at
louis-vuitton,France,https://us.louisvuitton.com,https://www.instagram.com/louisvuitton/,LVMH 산하의 프랑스 럭셔리 하우스로 가죽 제품과 트렁크 헤리티지를 중심으로 패션 전반을 전개한다.,https://us.louisvuitton.com,2026-02-28
gucci,Italy,https://www.gucci.com,https://www.instagram.com/gucci/,케어링 그룹 소속 이탈리아 럭셔리 브랜드로 레더 굿즈와 하우스 코드를 기반으로 컬렉션을 운영한다.,https://www.gucci.com,2026-02-28
prada,Italy,https://www.prada.com,https://www.instagram.com/prada/,이탈리아 밀라노 기반의 럭셔리 브랜드로 미니멀한 실루엣과 소재 실험이 강점이다.,https://www.prada.com,2026-02-28
balenciaga,France,https://www.balenciaga.com,https://www.instagram.com/balenciaga/,파리 기반 럭셔리 하우스로 구조적인 테일러링과 과감한 볼륨 실험으로 알려져 있다.,https://www.balenciaga.com,2026-02-28
loewe,Spain,https://www.loewe.com,https://www.instagram.com/loewe/,스페인 마드리드에서 시작한 럭셔리 하우스로 가죽 공예 기반의 현대적 컬렉션을 전개한다.,https://www.loewe.com,2026-02-28
bottega-veneta,Italy,https://www.bottegaveneta.com,https://www.instagram.com/bottegaveneta/,인트레치아토 위빙으로 대표되는 이탈리아 럭셔리 브랜드로 로고리스 접근을 지향한다.,https://www.bottegaveneta.com,2026-02-28
valentino,Italy,https://www.valentino.com,https://www.instagram.com/maisonvalentino/,로마 기반 이탈리아 럭셔리 하우스로 오트 쿠튀르와 레디투웨어를 함께 운영한다.,https://www.valentino.com,2026-02-28
givenchy,France,https://www.givenchy.com,https://www.instagram.com/givenchy/,프랑스 럭셔리 하우스로 꾸뛰르 유산과 현대 스트리트 감각을 결합한 컬렉션을 선보인다.,https://www.givenchy.com,2026-02-28
alexander-mcqueen,United Kingdom,https://www.alexandermcqueen.com,https://www.instagram.com/alexandermcqueen/,런던 기반 영국 럭셔리 하우스로 극적인 테일러링과 아트적 연출이 특징이다.,https://www.alexandermcqueen.com,2026-02-28
maison-margiela,France,https://www.maisonmargiela.com,https://www.instagram.com/maisonmargiela/,해체주의 미학으로 잘 알려진 프랑스 하우스로 아방가르드 디자인 코드를 유지한다.,https://www.maisonmargiela.com,2026-02-28
rick-owens,United States,https://www.rickowens.eu,https://www.instagram.com/rickowensonline/,미국 출신 디자이너가 이끄는 브랜드로 모노톤과 조형적 실루엣 중심의 컬렉션을 전개한다.,https://www.rickowens.eu,2026-02-28
jacquemus,France,https://www.jacquemus.com,https://www.instagram.com/jacquemus/,프랑스 신세대 럭셔리 브랜드로 남프랑스 무드와 현대적 비례감의 컬렉션이 강점이다.,https://www.jacquemus.com,2026-02-28
dries-van-noten,Belgium,https://www.driesvannoten.com,https://www.instagram.com/driesvannoten/,벨기에 앤트워프 기반 브랜드로 텍스타일과 프린트 감각을 강조한 컬렉션을 전개한다.,https://www.driesvannoten.com,2026-02-28
calvin-klein,United States,https://www.calvinklein.com,https://www.instagram.com/calvinklein/,미국 뉴욕 기반 패션 브랜드로 미니멀 아메리칸 스타일과 데님/언더웨어 라인이 강하다.,https://www.calvinklein.com,2026-02-28
mugler,France,https://www.mugler.com,https://www.instagram.com/muglerofficial/,프랑스 하우스로 강한 보디라인 실루엣과 퍼포먼스적 런웨이 연출이 특징이다.,https://www.mugler.com,2026-02-28
dior,France,https://www.dior.com,https://www.instagram.com/dior/,1946년 설립된 프랑스 럭셔리 하우스로 오트 쿠튀르와 레더 굿즈 라인을 함께 전개한다.,https://www.dior.com,2026-02-28
celine,France,https://www.celine.com,https://www.instagram.com/celine/,파리 기반 럭셔리 하우스로 정제된 실루엣과 레더 제품 라인이 대표적이다.,https://www.celine.com,2026-02-28
burberry,United Kingdom,https://www.burberry.com,https://www.instagram.com/burberry/,영국 럭셔리 브랜드로 트렌치코트와 체크 패턴 헤리티지를 중심으로 컬렉션을 운영한다.,https://www.burberry.com,2026-02-28
chanel,France,https://www.chanel.com,https://www.instagram.com/chanelofficial/,프랑스 럭셔리 하우스로 트위드 재킷과 하우스 코드 기반의 여성복/액세서리 라인을 전개한다.,https://www.chanel.com,2026-02-28
saint-laurent,France,https://www.ysl.com,https://www.instagram.com/ysl/,파리 기반 럭셔리 하우스로 날렵한 테일러링과 모던 락 무드의 컬렉션이 강점이다.,https://www.ysl.com,2026-02-28
fendi,Italy,https://www.fendi.com,https://www.instagram.com/fendi/,로마 기반 이탈리아 하우스로 퍼·레더 공예와 바게트 백으로 대표되는 브랜드다.,https://www.fendi.com,2026-02-28
tom-ford,United States,https://www.tomford.com,https://www.instagram.com/tomford/,미국 럭셔리 브랜드로 섬세한 테일러링과 글래머러스한 이브닝웨어가 특징이다.,https://www.tomford.com,2026-02-28
lanvin,France,https://www.lanvin.com,https://www.instagram.com/lanvin/,1889년 설립된 프랑스 하우스로 파리 쿠튀르 전통과 현대적 레디투웨어를 병행한다.,https://www.lanvin.com,2026-02-28
off-white,Italy,https://www.off---white.com,https://www.instagram.com/off____white/,밀라노 기반 럭셔리 스트리트 브랜드로 그래픽 코드와 하이패션 협업으로 알려져 있다.,https://www.off---white.com,2026-02-28
